Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Leading percentages	Reference
""	"*"	"7/2"	""	"0.4205645"	""	""	""	"                                                                                    "	""
""	"*"	"11/2"	""	"0.4221323"	""	""	""	"                                                                                    "	""
"4f14.10f"	"2F*"	"5/2"	""	"0.4226667"	""	""	""	"                                                                                    "	""
"4f14.10f"	"2F*"	"7/2"	""	"0.4226771"	""	""	""	"                                                                                    "	""
""	"*"	"9/2"	""	"0.4233480"	""	""	""	"                                                                                    "	""
""	"*"	"7/2"	""	"0.4233706"	""	""	""	"                                                                                    "	""
""	"*"	"7/2"	""	"0.4236321"	""	""	""	"                                                                                    "	""
""	"*"	"11/2"	""	"0.4241780"	""	""	"1.23"	"                                                                                    "	""
""	"*"	"7/2"	""	"0.4246278"	""	""	""	"                                                                                    "	""
""	"*"	"11/2"	""	"0.4248436"	""	""	""	"                                                                                    "	""
""	"*"	"13/2"	""	"0.4248609"	""	""	"1.21?"	"                                                                                    "	""
""	"*"	"7/2"	""	"0.4258488"	""	""	""	"                                                                                    "	""
""	"*"	"9/2"	""	"0.4260351"	""	""	""	"                                                                                    "	""
""	"*"	"5/2"	""	"0.4262269"	""	""	""	"                                                                                    "	""
"4f14.11f"	"2F*"	"7/2"	""	"0.4274212"	""	""	""	"                                                                                    "	""
""	"*"	"5/2"	""	"0.4276784"	""	""	""	"                                                                                    "	""
""	"*"	"9/2"	""	"0.4276905"	""	""	""	"                                                                                    "	""
""	"*"	"3/2"	""	"0.4282888"	""	""	""	"                                                                                    "	""
""	"*"	"7/2"	""	"0.4283363"	""	""	""	"                                                                                    "	""
""	"*"	"7/2"	""	"0.4296787"	""	""	"1.12"	"                                                                                    "	""
""	"*"	"11/2"	""	"0.4298251"	""	""	""	"                                                                                    "	""
""	"*"	"9/2"	""	"0.4299358"	""	""	""	"                                                                                    "	""
""	"*"	"3/2"	""	"0.4302493"	""	""	""	"                                                                                    "	""
"4f14.12f"	"2F*"	"7/2"	""	"0.4309338"	""	""	""	"                                                                                    "	""
""	"*"	"3/2"	""	"0.4320462"	""	""	""	"                                                                                    "	""
"4f14.13f"	"2F*"	"7/2"	""	"0.4335961"	""	""	""	"                                                                                    "	""
""	"*"	"9/2"	""	"0.4353603"	""	""	""	"                                                                                    "	""
"4f14.14f"	"2F*"	"7/2"	""	"0.435675"	""	""	""	"                                                                                    "	""
""	"*"	"7/2"	""	"0.4360017"	""	""	""	"                                                                                    "	""
""	"*"	"11/2"	""	"0.4362887"	""	""	"0.89?"	"                                                                                    "	""
""	"*"	"11/2"	""	"0.4391490"	""	""	"1.23"	"                                                                                    "	""
""	"*"	"9/2"	""	"0.4396063"	""	""	""	"                                                                                    "	""
""	"*"	"11/2"	""	"0.4414999"	""	""	""	"                                                                                    "	""
""	"*"	"13/2"	""	"0.4421617"	""	""	""	"                                                                                    "	""
""	"*"	"9/2"	""	"0.4423587"	""	""	""	"                                                                                    "	""
"Yb III (4f14 1S<0>)"	"Limit"	"---"	""	"0.4475768"	""	"0.0000009"	""	"                                                                                    "	"L12907"
""	"*"	"9/2"	""	"0.4488980"	""	""	""	"                                                                                    "	""
""	"*"	"13/2"	""	"0.4493459"	""	""	""	"                                                                                    "	""
""	"*"	"11/2"	""	"0.4501780"	""	""	""	"                                                                                    "	""
""	"*"	"13/2"	""	"0.4503003"	""	""	""	"                                                                                    "	""
""	"*"	"11/2"	""	"0.4521997"	""	""	""	"                                                                                    "	""
""	"*"	"9/2"	""	"0.4529654"	""	""	""	"                                                                                    "	""
""	"*"	"11/2"	""	"0.4557500"	""	""	""	"                                                                                    "	""
