Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Leading percentages	Reference
"4f13.(2F*<7/2>).5d2.(3F)"	"3[11/2]*"	"13/2"	""	"0.2265737"	""	""	"1.20"	"  84                :    15                                 (2F*<7/2>)(3F) 3[13/2]* "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"7/2"	""	"0.2176039"	""	""	"1.08"	"  41  3[9/2]*       :    38                                 (2F*<7/2>)(3F) 3[5/2]*  "	""
"4f13.(2F*<7/2>).6s.6p.(3P*<0>)"	"(7/2,0)"	"7/2"	""	"0.2183045"	""	""	"1.280"	"  85                :    10                                 (2F*<7/2>)(3P*<1>)      "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[1/2]*"	"3/2"	""	"0.2188166"	""	""	"1.38"	"  53                :    30                                 (2F*<7/2>)(3F) 3[5/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[1/2]*"	"1/2"	""	"0.2251701"	""	""	"1.41"	"  67                :    22                                 (2F*<7/2>)(3D) 3[3/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"5/2"	""	"0.2199469"	""	""	"1.14"	"  36  3[3/2]*       :    22  (2F*<5/2>).5d.6s.(1D)          1[5/2]*                 "	""
"4f13.(2F*<5/2>).5d.6s.(1D)"	"1[7/2]*"	"7/2"	""	"0.2212400"	""	""	"0.941"	"  81                :    11  (2F*<5/2>).5d2.(1D)            1[7/2]*                 "	""
"4f13.(2F*<7/2>).6s.6p.(3P*<1>)"	"(7/2,1)"	"7/2"	""	"0.2228067"	""	""	"1.0"	"  82                :    11                                 (2F*<7/2>)(3P*<0>)      "	""
"4f13.(2F*<7/2>).6s.6p.(3P*<1>)"	"(7/2,1)"	"9/2"	""	"0.2246326"	""	""	"1.187"	"  89                :     5                                 (2F*<7/2>)(1P*<1>)      "	""
"4f13.(2F*<7/2>).6s.6p.(3P*<1>)"	"(7/2,1)"	"5/2"	""	"0.2255297"	""	""	"1.145"	"  83                :     6                                 (2F*<7/2>)(1P*<1>)      "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[9/2]*"	"7/2"	""	"0.2233011"	""	""	"1.03"	"  43                :    15                                 (2F*<7/2>)(3F) 3[5/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[9/2]*"	"9/2"	""	"0.2274363"	""	""	"1.090"	"  52                :    31                                 (2F*<7/2>)(3F) 3[11/2]* "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[9/2]*"	"11/2"	""	"0.2299494"	""	""	"1.213"	"  49                :    28                                 (2F*<7/2>)(3F) 3[11/2]* "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"3/2"	""	"0.2316106"	""	""	"0.956"	"  35  3[5/2]*       :    30                                 (2F*<7/2>)(3F) 3[3/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"5/2"	""	"0.2335070"	""	""	"1.034"	"  40  3[7/2]*       :    25                                 (2F*<7/2>)(3F) 3[5/2]*  "	""
"4f13.(2F*<7/2>).5d2.(1G)"	"1[1/2]*"	"1/2"	""	"0.2372387"	""	""	"0.54"	"  67                :    20                                 (2F*<7/2>)(3F) 3[3/2]*  "	""
"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"11/2"	""	"0.2392867"	""	""	"1.27"	"  95                :     4  (2F*<7/2>).5d.6p.(3P*<2>)                              "	""
"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"3/2"	""	"0.2412033"	""	""	"0.877"	"  95                :     4  (2F*<7/2>).5d.6p.(3P*<2>)                              "	""
"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"5/2"	""	"0.2433309"	""	""	"1.033"	"  89                :     5  4f13.(2F*<7/2>).6s.6p.(3P*<1>)                         "	""
"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"7/2"	""	"0.2447447"	""	""	"1.181"	"  93                :     4  (2F*<7/2>).5d.6p.(3P*<2>)                              "	""
"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"9/2"	""	"0.2447696"	""	""	"1.26"	"  95                :     4  (2F*<7/2>).5d.6p.(3P*<2>)                              "	""
"4f13.(2F*<7/2>).5d2.(3P)"	"3[7/2]*"	"9/2"	""	"0.2409424"	""	""	"1.26"	"  45                :    35                                 (2F*<7/2>)(3F) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3P)"	"3[7/2]*"	"7/2"	""	"0.2411286"	""	""	"1.15"	"  51                :    36                                 (2F*<7/2>)(3F) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3P)"	"3[7/2]*"	"5/2"	""	"0.2420352"	""	""	"0.944"	"  67                :    10                                 (2F*<7/2>)(3F) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d2.(1G)"	"1[3/2]*"	"3/2"	""	"0.2414300"	""	""	"1.131"	"  61                :    12                                 (2F*<5/2>)(3F) 3[3/2]*  "	""
"4f13.(2F*<7/2>).5d2.(1G)"	"1[15/2]*"	"15/2"	""	"0.2429570"	""	""	"1.04"	"  96                :     4                                 (2F*<7/2>)(3F) 3[13/2]* "	""
"4f13.(2F*<7/2>).5d2.(1D)"	"1[7/2]*"	"7/2"	""	"0.2444241"	""	""	"1.18"	"  45                :    13                                 (2F*<5/2>)(3F) 3[5/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"*"	"5/2"	""	"0.2447498"	""	""	"1.183"	"  32  3[5/2]*       :    19                                 (2F*<7/2>)(1D) 1[5/2]*  "	""
"4f13.(2F*<7/2>).5d2.(1D)"	"1[11/2]*"	"11/2"	""	"0.2469192"	""	""	"1.11"	"  70                :     8                                 (2F*<7/2>)(3F) 3[9/2]*  "	""
"4f14.7s"	"2S"	"1/2"	""	"0.2474286"	""	""	"2.001"	"                                                                                    "	""
"4f13.(2F*<7/2>).5d2.(1D)"	"1[9/2]*"	"9/2"	""	"0.2489619"	""	""	"1.13"	"  60                :    10                                 (2F*<7/2>)(3P) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d2.(1D)"	"1[3/2]*"	"3/2"	""	"0.2516075"	""	""	"1.11"	"  56                :    22                                 (2F*<7/2>)(3P) 3[5/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3P)"	"3[9/2]*"	"7/2"	""	"0.2527066"	""	""	"0.878"	"  62                :    22                                 (2F*<5/2>)(3F) 3[9/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3P)"	"3[9/2]*"	"9/2"	""	"0.2555575"	""	""	"1.11"	"  63                :    10                                 (2F*<7/2>)(1G) 1[9/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3P)"	"3[9/2]*"	"11/2"	""	"0.2579849"	""	""	"1.16"	"  64                :    14                                 (2F*<7/2>)(1G) 1[11/2]* "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<2>)"	"(7/2,2)"	"3/2"	""	"0.2537973"	""	""	"1.693"	"  76                :     8                                 (2F*<7/2>)(3F*<3>)      "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<2>)"	"(7/2,2)"	"5/2"	""	"0.2680200"	""	""	"1.266"	"  36                :    20  (2F*<7/2>).6s.6p.(1P*<1>)                              "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<2>)"	"(7/2,2)"	"11/2"	""	"0.2686478"	""	""	"0.974"	"  74                :    21                                 (2F*<7/2>)(1D*<2>)      "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<2>)"	"(7/2,2)"	"7/2"	""	"0.2781691"	""	""	"1.18"	"  64                :    18                                 (2F*<7/2>)(1D*<2>)      "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<2>)"	"(7/2,2)"	"9/2"	""	"0.2789145"	""	""	"1.07"	"  54                :    30                                 (2F*<7/2>)(1D*<2>)      "	""
"4f13.(2F*<7/2>).5d2.(3P)"	"*"	"5/2"	""	"0.2554141"	""	""	"1.12"	"  32  3[5/2]*       :    32                                 (2F*<7/2>)(3F) 3[5/2]*  "	""
"4f13.(2F*<7/2>).5d.6p.(1P*<1>)"	""	"5/2"	""	"0.2568675"	""	""	"1.226"	"  24  (7/2,1)       :    22  (2F*<7/2>).6s.6p.(1P*<1>)                              "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[11/2]*"	"9/2"	""	"0.2573453"	""	""	"0.76"	"  94                :     3                                 (2F*<7/2>)(3P) 3[9/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[11/2]*"	"11/2"	""	"0.2645021"	""	""	"0.95"	"  99                                                                                "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[11/2]*"	"13/2"	""	"0.2717043"	"?"	""	""	"  93                                                                                "	""
"4f13.(2F*<7/2>).5d2.(3P)"	"3[5/2]*"	"7/2"	""	"0.2574359"	""	""	"1.352"	"  77                :     8                                 (2F*<7/2>)(3P) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3P)"	"3[5/2]*"	"5/2"	""	"0.2633494"	""	""	"1.151"	"  50                :    22                                 (2F*<7/2>)(1D) 1[5/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3P)"	"3[5/2]*"	"3/2"	""	"0.2650090"	""	""	"0.94"	"  60                :    18                                 (2F*<7/2>)(1D) 1[3/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"*"	"3/2"	""	"0.2589823"	""	""	"0.90"	"  40  3[5/2]*       :    19                                 (2F*<5/2>)(3F) 3[3/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[1/2]*"	"1/2"	""	"0.2596095"	""	""	"2.19"	"  90                :     8                                 (2F*<5/2>)(3F) 3[3/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[1/2]*"	"3/2"	""	"0.2723644"	""	""	"1.63"	"  71                :    21                                 (2F*<5/2>)(3F) 3[3/2]*  "	""
"4f13.(2F*<7/2>).5d2.(1G)"	"1[7/2]*"	"7/2"	""	"0.2601805"	""	""	"1.10"	"  82                :    11                                 (2F*<7/2>)(1D) 1[7/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[9/2]*"	"7/2"	""	"0.2621462"	""	""	"0.87"	"  54                :    16                                 (2F*<5/2>)(3F) 3[7/2]*  "	""
