# Reduced electric-dipole matrix elements |<n1 l1 j1 || d || n2 l2 j2>| in e a0,
# from the Portal for High-Precision Atomic Data and Computation, https://www1.udel.edu/atom/
# (M. S. Safronova et al., linearized coupled-cluster method; retrieved 2026-07-28).
species,n1,l1,j1,n2,l2,j2,matrix_element,uncertainty
Li,4,0,0.5,4,1,0.5,15.7185,0.0078593
Li,4,0,0.5,4,1,1.5,22.2293,0.0111147
Li,4,0,0.5,5,1,0.5,0.232213,0.0012265
Li,4,0,0.5,5,1,1.5,0.3284,0.0019336
Li,4,0,0.5,6,1,0.5,0.109086,0.0027134
Li,4,0,0.5,6,1,1.5,0.154271,0.003937
Li,4,0,0.5,7,1,0.5,0.130764,0.001255
Li,4,0,0.5,7,1,1.5,0.184928,0.0018381
Li,4,0,0.5,8,1,0.5,0.122809,0.0047953
Li,4,0,0.5,8,1,1.5,0.173678,0.0068272
Li,4,0,0.5,9,1,0.5,0.102347,0.0007128
Li,4,0,0.5,9,1,1.5,0.144741,0.0009732
Li,4,0,0.5,10,1,0.5,0.09183,0.0021447
Li,4,0,0.5,10,1,1.5,0.129868,0.0030611
Li,3,2,1.5,4,1,0.5,1.95963,0.0015667
Li,4,1,0.5,4,2,1.5,24.1107,0.0120554
Li,4,1,0.5,5,2,1.5,11.0853,0.007805
Li,4,1,0.5,6,2,1.5,4.68364,0.0023418
Li,4,1,0.5,7,2,1.5,2.82487,0.0014124
Li,4,1,0.5,8,2,1.5,1.97783,0.0013125
Li,4,1,0.5,9,2,1.5,1.50043,0.0014247
Li,4,1,0.5,10,2,1.5,1.1966,0.0008965
Li,3,2,1.5,4,1,1.5,0.876375,0.0007516
Li,3,2,2.5,4,1,1.5,2.6292,0.0022629
Li,4,1,1.5,4,2,1.5,10.7826,0.0053913
Li,4,1,1.5,4,2,2.5,32.3481,0.016174
Li,4,1,1.5,5,2,1.5,4.95751,0.0036699
Li,4,1,1.5,5,2,2.5,14.8723,0.011065
Li,4,1,1.5,6,2,1.5,2.09458,0.0010473
Li,4,1,1.5,6,2,2.5,6.28367,0.0031857
Li,4,1,1.5,7,2,1.5,1.26332,0.0006317
Li,4,1,1.5,7,2,2.5,3.78996,0.001895
Li,4,1,1.5,8,2,1.5,0.884514,0.0005762
Li,4,1,1.5,8,2,2.5,2.65355,0.0017378
Li,4,1,1.5,9,2,1.5,0.671014,0.0006301
Li,4,1,1.5,9,2,2.5,2.01305,0.0018961
Li,4,1,1.5,10,2,1.5,0.535137,0.000396
Li,4,1,1.5,10,2,2.5,1.60541,0.0011918
Li,4,3,2.5,5,2,1.5,2.61256,0.0110743
Li,5,2,1.5,5,3,2.5,46.6553,0.163494
Li,5,2,1.5,6,3,2.5,28.6788,0.0143394
Li,5,2,1.5,7,3,2.5,10.9604,0.0054802
Li,5,2,1.5,8,3,2.5,6.30306,0.0031515
Li,5,2,1.5,9,3,2.5,4.28852,0.0021443
Li,5,2,1.5,10,3,2.5,3.19528,0.0015976
Li,4,3,2.5,5,2,2.5,0.69821,0.0029535
Li,4,3,3.5,5,2,2.5,3.12248,0.0131518
Li,5,2,2.5,5,3,2.5,12.4691,0.043691
Li,5,2,2.5,5,3,3.5,55.7637,0.195292
Li,5,2,2.5,6,3,2.5,7.66482,0.0038324
Li,5,2,2.5,6,3,3.5,34.278,0.017139
Li,5,2,2.5,7,3,2.5,2.92929,0.0014646
Li,5,2,2.5,7,3,3.5,13.1002,0.0065501
Li,5,2,2.5,8,3,2.5,1.68456,0.0008423
Li,5,2,2.5,8,3,3.5,7.53361,0.0037668
Li,5,2,2.5,9,3,2.5,1.14616,0.0005731
Li,5,2,2.5,9,3,3.5,5.12577,0.0025629
Li,5,2,2.5,10,3,2.5,0.853974,0.000427
Li,5,2,2.5,10,3,3.5,3.8191,0.0019095
Li,2,1,0.5,5,0,0.5,0.348549,0.0001743
Li,2,1,1.5,5,0,0.5,0.492924,0.0002465
Li,3,1,0.5,5,0,0.5,1.52157,0.0007608
Li,3,1,1.5,5,0,0.5,2.15182,0.0010759
Li,4,1,0.5,5,0,0.5,10.9916,0.0054958
Li,4,1,1.5,5,0,0.5,15.5444,0.0077722
Li,5,0,0.5,5,1,0.5,25.078,0.012539
Li,5,0,0.5,5,1,1.5,35.4654,0.0177327
Li,5,0,0.5,6,1,0.5,0.597017,0.0091316
Li,5,0,0.5,6,1,1.5,0.844312,0.013208
Li,5,0,0.5,7,1,0.5,0.0256264,0.0034394
Li,5,0,0.5,7,1,1.5,0.0362408,0.0050097
Li,5,0,0.5,8,1,0.5,0.113098,0.0100857
Li,5,0,0.5,8,1,1.5,0.159946,0.014356
Li,5,0,0.5,9,1,0.5,0.109149,0.001098
Li,5,0,0.5,9,1,1.5,0.15436,0.0014868
Li,5,0,0.5,10,1,0.5,0.106928,0.0040578
Li,5,0,0.5,10,1,1.5,0.15122,0.0057891
Li,3,2,1.5,5,1,0.5,0.702832,0.0004048
Li,4,2,1.5,5,1,0.5,4.50011,0.0039277
Li,5,1,0.5,5,2,1.5,39.8126,0.0199063
Li,5,1,0.5,6,2,1.5,15.0179,0.013702
Li,5,1,0.5,7,2,1.5,6.32683,0.0031634
Li,5,1,0.5,8,2,1.5,3.8132,0.0048481
Li,5,1,0.5,9,2,1.5,2.66717,0.0049018
Li,5,1,0.5,10,2,1.5,2.02253,0.0030585
Li,3,2,1.5,5,1,1.5,0.314317,0.0001966
Li,3,2,2.5,5,1,1.5,0.942972,0.0005922
Li,4,2,1.5,5,1,1.5,2.01251,0.0018647
Li,4,2,2.5,5,1,1.5,6.03772,0.0056423
Li,5,1,1.5,5,2,1.5,17.8047,0.0089024
Li,5,1,1.5,5,2,2.5,53.4144,0.0267072
Li,5,1,1.5,6,2,1.5,6.71621,0.0063928
Li,5,1,1.5,6,2,2.5,20.148,0.01954
Li,5,1,1.5,7,2,1.5,2.82944,0.0014147
Li,5,1,1.5,7,2,2.5,8.48834,0.0042442
Li,5,1,1.5,8,2,1.5,1.70531,0.0021367
Li,5,1,1.5,8,2,2.5,5.11595,0.0064431
Li,5,1,1.5,9,2,1.5,1.19279,0.0021738
Li,5,1,1.5,9,2,2.5,3.57839,0.0065401
